model_name,overall_score,param_significance_score,info_criteria_score,residual_diag_score,stability_score,sign_bias_score,gof_score,garch_type,garch_p,garch_q,arma_p,arma_d,arma_q,distribution,loglikelihood,AIC,BIC,mu_estimate,mu_p_value,ar1_estimate,ar1_p_value,ma1_estimate,ma1_p_value,omega_estimate,omega_p_value,alpha1_estimate,alpha1_p_value,beta1_estimate,beta1_p_value,beta2_estimate,beta2_p_value,shape_estimate,shape_p_value,ljung_box_res_p_value,ljung_box_sq_res_p_value,nyblom_joint_statistic,sign_bias_t_value,sign_bias_p_value,negative_sign_bias_t_value,negative_sign_bias_p_value,positive_sign_bias_t_value,positive_sign_bias_p_value,joint_effect_t_value,joint_effect_p_value,alpha2_estimate,alpha2_p_value,gamma1_estimate,gamma1_p_value,gamma2_estimate,gamma2_p_value,skew_estimate,skew_p_value,arch_lm_p_value,key_strengths
series_2_model_18_summary.txt,0.8594026407049413,0.25,0.1056992,0.25,0.10370344070494128,0.1,0.05,sGARCH,1.0,1.0,1.0,0.0,0.0,std,-4189.7,2.3168,2.327,0.00403,0.733021,0.088468,0.0,,,0.016704,0.000575,0.104654,0.0,0.877324,0.0,,,5.98054,0.0,0.679,0.1578,2.0491,0.8577,0.3911,1.0761,0.2819,0.114,0.9093,1.4381,0.6966,,,,,,,,,0.8678,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.106)"
series_2_model_19_summary.txt,0.85792419013723,0.25,0.10571360000000002,0.25,0.10221059013722987,0.1,0.05,sGARCH,1.0,1.0,0.0,0.0,1.0,std,-4188.898,2.3163,2.3266,0.004002,0.733998,,,0.093516,0.0,0.01669,0.000585,0.104597,0.0,0.877392,0.0,,,5.976795,0.0,0.8788,0.1557,2.0636,1.5997,0.1098,1.4367,0.1509,0.2484,0.8038,3.2416,0.3559,,,,,,,,,0.8553,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.106)"
series_2_model_26_summary.txt,0.857095277954293,0.22916666666666666,0.10567040000000001,0.25,0.12225821128762632,0.1,0.05,sGARCH,1.0,2.0,1.0,0.0,0.0,std,-4188.776,2.3168,2.3288,0.0039,0.741321,0.08794,0.0,,,0.019227,0.000608,0.123818,0.0,0.613979,4.6e-05,0.241312,0.083305,5.982641,0.0,0.6556,0.3938,2.1045,0.821,0.4117,0.716,0.474,0.2042,0.8382,0.8107,0.8469,,,,,,,,,,"Residual diagnostics (0.250), Parameter significance (0.229), Parameter stability (0.122)"
series_3_model_144_summary.txt,0.8565464849571058,0.25,0.19859952000000003,0.1951643888888889,0.07670257606821689,0.08608,0.05,gjrGARCH,2.0,2.0,1.0,0.0,1.0,sstd,1083.2,-0.5915,-0.57097,-0.074862,0.017999,0.986777,0.0,-0.092559,0.0,0.006097,0.0,0.150111,0.0,0.432157,0.0,0.253515,0.0,4.988628,0.0,0.664812,0.684,3.6307,2.1844,0.029,0.2874,0.77384,1.0981,0.27222,8.1425,0.04316,0.20599,0.0,-0.167064,0.0,-0.233293,0.0,1.358625,0.0,,"Parameter significance (0.250), Information criteria (0.199), Residual diagnostics (0.195)"
series_2_model_27_summary.txt,0.8545434846162284,0.22916666666666666,0.10568320000000003,0.25,0.11969361794956174,0.1,0.05,sGARCH,1.0,2.0,0.0,0.0,1.0,std,-4187.971,2.3164,2.3284,0.003872,0.74232,,,0.093134,0.0,0.019206,0.000621,0.123731,0.0,0.613674,4.7e-05,0.241716,0.082917,5.978188,0.0,0.8563,0.3897,2.1257,1.5805,0.1141,1.0869,0.2772,0.5733,0.5665,2.6276,0.4527,,,,,,,,,,"Residual diagnostics (0.250), Parameter significance (0.229), Parameter stability (0.120)"
series_2_model_116_summary.txt,0.8530615863252038,0.20535714285714285,0.1057008,0.25,0.1453486434680609,0.096655,0.05,gjrGARCH,1.0,1.0,1.0,0.0,1.0,std,-4184.485,2.315,2.3287,0.010291,0.385519,-0.15515,0.296908,0.247643,0.089012,0.016902,0.00051,0.133194,0.0,0.875689,0.0,,,6.055286,0.0,0.8576,0.09958,2.1415,1.8063,0.07096,2.0214,0.04331,0.7384,0.46033,5.0171,0.17055,,,-0.053828,0.009319,,,,,0.9688,"Residual diagnostics (0.250), Parameter significance (0.205), Parameter stability (0.145)"
series_2_model_90_summary.txt,0.8501125210760637,0.2421875,0.1056224,0.25,0.10230262107606375,0.1,0.05,eGARCH,1.0,2.0,1.0,0.0,0.0,sstd,-4186.408,2.3166,2.332,0.015678,0.218569,0.091335,0.0,,,-0.0132,0.007924,0.035348,0.020551,0.751312,0.0,0.221576,0.0,5.833706,0.0,0.5913,0.1412,2.7027,1.0989,0.27189,1.6988,0.08944,0.6444,0.51938,3.3058,0.34683,,,0.253125,0.0,,,1.026585,0.0,,"Residual diagnostics (0.250), Parameter significance (0.242), Information criteria (0.106)"
series_2_model_92_summary.txt,0.8493828174502934,0.24305555555555555,0.10560160000000002,0.25,0.11270066189473786,0.088025,0.05,eGARCH,1.0,2.0,1.0,0.0,1.0,sstd,-4185.02,2.3164,2.3335,0.014697,0.236628,-0.156993,0.000785,0.252244,0.0,-0.013187,0.007888,0.034519,0.022025,0.747824,0.0,0.225226,0.0,5.823449,0.0,0.7463,0.1365,2.8259,2.03,0.04239,2.125,0.03366,1.103,0.27013,6.119,0.10596,,,0.252923,0.0,,,1.026732,0.0,,"Residual diagnostics (0.250), Parameter significance (0.243), Parameter stability (0.113)"
series_2_model_36_summary.txt,0.842859622957716,0.20535714285714285,0.1056432,0.25,0.13185928010057307,0.1,0.05,sGARCH,1.0,1.0,1.0,0.0,1.0,sstd,-4187.677,2.3168,2.3305,0.008577,0.485554,-0.167026,0.267561,0.25853,0.079227,0.017168,0.000515,0.106729,0.0,0.874826,0.0,,,5.967053,0.0,0.7933,0.1743,2.2389,1.6209,0.1051,1.3804,0.1675,0.2884,0.7731,3.1917,0.363,,,,,,,1.028003,0.0,0.8573,"Residual diagnostics (0.250), Parameter significance (0.205), Parameter stability (0.132)"
series_2_model_76_summary.txt,0.8396930928495703,0.2421875,0.1056352,0.25,0.0978303928495702,0.09404000000000001,0.05,eGARCH,1.0,2.0,1.0,0.0,1.0,std,-4185.612,2.3162,2.3316,0.010127,0.388603,-0.156497,0.0,0.251642,0.0,-0.013119,0.007441,0.033129,0.026725,0.745607,0.0,0.228079,0.0,5.839791,0.0,0.7523,0.1282,2.7474,1.886,0.05932,2.075,0.03808,1.008,0.31367,5.59,0.13337,,,0.250537,0.0,,,,,,"Residual diagnostics (0.250), Parameter significance (0.242), Information criteria (0.106)"
series_2_model_74_summary.txt,0.8361466169357415,0.24107142857142858,0.10565600000000003,0.25,0.08941918836431295,0.1,0.05,eGARCH,1.0,2.0,1.0,0.0,0.0,std,-4186.98,2.3164,2.3301,0.010514,0.378739,0.091401,0.0,,,-0.013144,0.007394,0.033688,0.025627,0.749053,0.0,0.22452,0.0,5.848562,0.0,0.6031,0.1332,2.6273,0.9204,0.3574,1.6242,0.1044,0.5345,0.593,2.9608,0.3977,,,0.250641,0.0,,,,,,"Residual diagnostics (0.250), Parameter significance (0.241), Information criteria (0.106)"
series_2_model_91_summary.txt,0.8355403080465804,0.2421875,0.1056352,0.25,0.09851760804658026,0.0892,0.05,eGARCH,1.0,2.0,0.0,0.0,1.0,sstd,-4185.598,2.3162,2.3316,0.015121,0.230681,,,0.097447,0.0,-0.013185,0.007915,0.035024,0.021109,0.750993,0.0,0.222011,0.0,5.824608,0.0,0.8257,0.137,2.7404,2.005,0.04507,2.129,0.03333,1.09,0.27601,6.071,0.1082,,,0.25254,0.0,,,1.02656,0.0,,"Residual diagnostics (0.250), Parameter significance (0.242), Information criteria (0.106)"
series_2_model_75_summary.txt,0.8281418831722667,0.24107142857142858,0.10567200000000002,0.25,0.08754345460083801,0.09385500000000001,0.05,eGARCH,1.0,2.0,0.0,0.0,1.0,std,-4186.175,2.3159,2.3296,0.010371,0.382628,,,0.097036,0.0,-0.01312,0.007435,0.033476,0.026103,0.748582,0.0,0.225075,0.0,5.84082,0.0,0.82,0.1291,2.6485,1.865,0.06227,2.0788,0.03771,0.9941,0.32024,5.5548,0.1354,,,0.250179,0.0,,,,,,"Residual diagnostics (0.250), Parameter significance (0.241), Information criteria (0.106)"
series_3_model_142_summary.txt,0.8279948428970787,0.25,0.19838256,0.16674440838888907,0.06286787450818968,0.1,0.05,gjrGARCH,2.0,2.0,1.0,0.0,0.0,sstd,1068.375,-0.58386,-0.56505,0.099916,0.0,0.984624,0.0,,,0.005921,0.0,0.231787,0.0,0.471467,0.0,0.227082,0.0,5.211158,0.0,0.0001398,0.3812,3.6196,1.2586,0.2082,0.3502,0.7262,1.5133,0.1303,3.4566,0.3264,0.122087,0.0,-0.271597,0.0,-0.137061,0.0,1.365048,0.0,,"Parameter significance (0.250), Information criteria (0.198), Residual diagnostics (0.167)"
series_2_model_28_summary.txt,0.8269615283202801,0.1875,0.10564960000000001,0.25,0.13381192832028016,0.1,0.05,sGARCH,1.0,2.0,1.0,0.0,1.0,std,-4187.393,2.3166,2.3303,0.003837,0.741333,-0.163324,0.277225,0.254947,0.082753,0.019252,0.000606,0.124211,0.0,0.612515,4.9e-05,0.242386,0.082027,5.979035,0.0,0.7995,0.3943,2.2242,1.5207,0.1284,1.0332,0.3016,0.5562,0.5781,2.4224,0.4895,,,,,,,,,,"Residual diagnostics (0.250), Parameter significance (0.188), Parameter stability (0.134)"
series_3_model_136_summary.txt,0.821757689237974,0.25,0.1981704,0.25,0.008047289237973895,0.06554,0.05,gjrGARCH,2.0,1.0,1.0,0.0,1.0,sstd,1056.365,-0.57723,-0.55842,-0.141025,0.0,0.983288,0.0,-0.0821,0.0,0.006823,0.0,0.181498,0.0,0.750214,0.0,,,4.735071,0.0,0.82581,0.6642,5.6753,2.964,0.003058,1.128,0.25952,1.586,0.112918,9.098,0.028022,0.0553,0.0,-0.241409,0.0,-0.094951,0.0,1.306998,0.0,,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.198)"
series_2_model_86_summary.txt,0.8212563248689445,0.19444444444444445,0.10560800000000002,0.2488111111111111,0.12239276931338897,0.1,0.05,eGARCH,2.0,1.0,1.0,0.0,0.0,sstd,-4184.654,2.3162,2.3333,0.015678,0.218736,0.090571,0.0,,,-0.009393,0.01198,0.012725,0.65023,0.980732,0.0,,,5.831763,0.0,0.5787,0.488,2.7434,1.0612,0.2887,0.8158,0.4146,0.7984,0.4247,1.4487,0.6942,0.020421,0.47727,0.289311,0.0,-0.100403,0.017891,1.02649,0.0,,"Residual diagnostics (0.249), Parameter significance (0.194), Parameter stability (0.122)"
series_2_model_20_summary.txt,0.8197844556687094,0.19791666666666666,0.1056768,0.25,0.11619098900204267,0.1,0.05,sGARCH,1.0,1.0,1.0,0.0,1.0,std,-4188.325,2.3166,2.3286,0.003959,0.733417,-0.162751,0.279004,0.254795,0.083196,0.016715,0.000566,0.104922,0.0,0.877072,0.0,,,5.977553,0.0,0.8222,0.157,2.1554,1.5146,0.13,1.3738,0.1696,0.2176,0.8278,2.9363,0.4016,,,,,,,,,0.8375,"Residual diagnostics (0.250), Parameter significance (0.198), Parameter stability (0.116)"
series_2_model_72_summary.txt,0.8191230688319994,0.2013888888888889,0.10562080000000001,0.24867777777777778,0.1134356021653327,0.1,0.05,eGARCH,2.0,1.0,1.0,0.0,1.0,std,-4183.836,2.3158,2.3329,0.010022,0.40194,-0.159034,0.0,0.253731,0.0,-0.009288,0.00698,0.011565,0.68021,0.981501,0.0,,,5.842025,0.0,0.7412,0.47546,2.8194,1.905,0.05688,1.216,0.22394,1.216,0.22391,3.951,0.26686,0.019368,0.5,0.287998,0.0,-0.102251,0.01368,,,,"Residual diagnostics (0.249), Parameter significance (0.201), Parameter stability (0.113)"
series_3_model_134_summary.txt,0.8188192605509771,0.25,0.19478624000000003,0.1668112005555744,0.057221819995402635,0.1,0.05,gjrGARCH,2.0,1.0,1.0,0.0,0.0,sstd,862.2909,-0.47062,-0.45352,-0.091521,0.0,0.9814,0.0,,,0.018263,0.0,0.112388,0.0,0.647347,0.0,,,3.487951,0.0,0.0002584,0.736,3.5037,0.6549,0.5126,0.5512,0.5815,0.2166,0.8285,2.6076,0.4562,0.040949,0.0,-0.057782,0.0,-0.34198,0.0,1.222078,0.0,,"Parameter significance (0.250), Information criteria (0.195), Residual diagnostics (0.167)"
series_2_model_88_summary.txt,0.8181327153111628,0.1875,0.10558719999999999,0.25,0.12967551531116273,0.09537000000000001,0.05,eGARCH,2.0,1.0,1.0,0.0,1.0,sstd,-4183.268,2.316,2.3348,0.01448,0.294599,-0.159267,0.065665,0.253777,0.002691,-0.009364,0.011029,0.012256,0.662127,0.980924,0.0,,,5.824227,0.0,0.7289,0.4823,2.8956,2.047,0.04074,1.272,0.20362,1.289,0.19738,4.502,0.21211,0.01995,0.487112,0.28926,0.0,-0.10108,0.016632,1.026212,0.0,,"Residual diagnostics (0.250), Parameter significance (0.188), Parameter stability (0.130)"
series_2_model_87_summary.txt,0.8130080746302822,0.19444444444444445,0.10562080000000001,0.24952222222222223,0.11629560796361545,0.097125,0.05,eGARCH,2.0,1.0,0.0,0.0,1.0,sstd,-4183.86,2.3158,2.3329,0.014853,0.220591,,,0.096096,4e-06,-0.009386,0.011371,0.012856,0.646942,0.980841,0.0,,,5.82476,0.0,0.7829,0.4803,2.7945,2.012,0.04425,1.277,0.20157,1.27,0.20425,4.383,0.22294,0.019872,0.489352,0.288802,0.0,-0.100384,0.0175,1.026089,0.0,,"Residual diagnostics (0.250), Parameter significance (0.194), Parameter stability (0.116)"
series_2_model_82_summary.txt,0.8113992512550937,0.24107142857142858,0.10564960000000001,0.23503333333333332,0.09053488935033174,0.08911000000000001,0.05,eGARCH,1.0,1.0,1.0,0.0,0.0,sstd,-4187.331,2.3166,2.3303,0.01623,0.206249,0.091793,1e-06,,,-0.011579,0.009868,0.031022,0.017749,0.976051,0.0,,,5.830404,0.0,0.6333,0.02306,2.6149,1.1933,0.23283,2.195,0.02822,0.2041,0.83831,4.86,0.18234,,,0.214439,0.0,,,1.027315,0.0,0.6219,"Parameter significance (0.241), Residual diagnostics (0.235), Information criteria (0.106)"
series_3_model_84_summary.txt,0.8051472982885329,0.25,0.19921856000000002,0.19444955445072779,0.011479183837805107,0.1,0.05,eGARCH,1.0,1.0,1.0,0.0,1.0,sstd,1110.59,-0.60828,-0.59288,0.273205,0.21584,0.989935,0.0,-0.077076,0.0,-0.24468,0.0,0.243295,0.0,0.92698,0.0,,,5.252668,0.0,0.6024,0.4997,4.8901,0.4851,0.6276,0.1056,0.9159,0.9795,0.3274,0.9818,0.8056,,,0.090288,0.0,,,1.394693,0.0,0.3286,"Parameter significance (0.250), Information criteria (0.199), Residual diagnostics (0.194)"
series_2_model_94_summary.txt,0.8042760326481242,0.2125,0.1055648,0.23568333333333333,0.10052789931479092,0.1,0.05,eGARCH,2.0,2.0,1.0,0.0,0.0,sstd,-4184.588,2.3167,2.3355,0.015657,0.216421,0.090638,0.0,,,-0.009191,0.000685,0.013108,0.640281,0.999996,0.0,-0.018845,0.0,5.832802,0.0,0.5783,0.5026,3.1502,1.0559,0.2911,0.8009,0.4232,0.8141,0.4157,1.4443,0.6952,0.019393,0.498621,0.290653,0.0,-0.105885,0.009677,1.026434,0.0,,"Residual diagnostics (0.236), Parameter significance (0.212), Information criteria (0.106)"
series_3_model_130_summary.txt,0.8040074216700539,0.25,0.19839568000000002,0.1667723378333341,0.03883940383671979,0.1,0.05,gjrGARCH,1.0,1.0,1.0,0.0,0.0,sstd,1061.468,-0.58171,-0.56802,0.100567,0.0,0.983242,0.0,,,0.004658,0.0,0.287347,0.0,0.755297,0.0,,,4.891961,0.0,0.00019,0.2539,3.4612,1.228,0.21944,0.476,0.63407,1.945,0.05182,4.617,0.20205,,,-0.303843,0.0,,,1.35826,0.0,0.1867,"Parameter significance (0.250), Information criteria (0.198), Residual diagnostics (0.167)"
series_1_model_134_summary.txt,0.8034834123751331,0.25,0.10260640000000001,0.25,0.13204401237513316,0.030795500000000003,0.0380375,gjrGARCH,2.0,1.0,1.0,0.0,0.0,sstd,-4354.433,2.41,2.4271,0.011014,0.0,-0.084717,0.0,,,0.067076,0.0,0.074797,0.0,0.90858,0.0,,,2.656385,0.0,0.37709,0.08794,2.6675,2.674,0.00754,2.97,0.002998,1.169,0.242449,16.156,0.001053,0.041277,0.0,-0.511394,0.0,-0.448734,0.0,0.922809,0.0,,"Parameter significance (0.250), Residual diagnostics (0.250), Parameter stability (0.132)"
series_2_model_84_summary.txt,0.8025460979549586,0.2421875,0.10562880000000002,0.23099999999999998,0.1003972979549586,0.07333250000000001,0.05,eGARCH,1.0,1.0,1.0,0.0,1.0,sstd,-4185.977,2.3164,2.3318,0.015221,0.226718,-0.153218,5.8e-05,0.249122,0.0,-0.011531,0.009818,0.030202,0.019299,0.976266,0.0,,,5.819686,0.0,0.8037,0.02097,2.7215,2.0815,0.037456,2.6056,0.009209,0.6373,0.52398,7.6405,0.054057,,,0.213637,0.0,,,1.027375,0.0,0.5838,"Parameter significance (0.242), Residual diagnostics (0.231), Information criteria (0.106)"
series_2_model_70_summary.txt,0.7999552354227678,0.1953125,0.1056416,0.24303333333333332,0.10596780208943449,0.1,0.05,eGARCH,2.0,1.0,1.0,0.0,0.0,std,-4185.22,2.316,2.3314,0.010604,0.37401,0.090984,0.0,,,-0.009331,0.008131,0.01207,0.667151,0.981359,0.0,,,5.849436,0.0,0.5971,0.4801,2.6675,0.8685,0.3852,0.7366,0.4614,0.7045,0.4812,1.0927,0.7788,0.019501,0.497431,0.287812,0.0,-0.101443,0.015066,,,,"Residual diagnostics (0.243), Parameter significance (0.195), Parameter stability (0.106)"
series_2_model_98_summary.txt,0.7987794209966688,0.25,0.103464,0.25,0.09531005310166878,0.1,5.3678949999999995e-06,gjrGARCH,1.0,1.0,1.0,0.0,0.0,norm,-4316.119,2.3866,2.3969,0.013827,0.278192,0.076719,2.1e-05,,,0.020546,2e-06,0.174662,0.0,0.85067,0.0,,,,,0.2778,0.2783,2.1335,1.182,0.2374,1.416,0.1568,0.953,0.3406,2.915,0.4049,,,-0.083889,4.3e-05,,,,,0.6893,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.103)"
series_3_model_138_summary.txt,0.7984869966919593,0.25,0.198392,0.1667661395555562,0.04088385713640306,0.092445,0.05,gjrGARCH,1.0,2.0,1.0,0.0,0.0,sstd,1063.811,-0.58245,-0.56705,0.16872,0.0,0.985361,0.0,,,0.005545,0.0,0.330908,0.0,0.644746,0.0,0.093422,0.0,4.568477,0.0,0.0001789,0.1897,3.6199,1.25133,0.2109,0.04148,0.96691,2.1104,0.03489,4.54931,0.20793,,,-0.386372,0.0,,,1.36982,0.0,,"Parameter significance (0.250), Information criteria (0.198), Residual diagnostics (0.167)"
series_2_model_96_summary.txt,0.7974041469020527,0.20454545454545456,0.105544,0.23727777777777778,0.10466191457882039,0.095375,0.05,eGARCH,2.0,2.0,1.0,0.0,1.0,sstd,-4183.201,2.3165,2.337,0.014465,0.294678,-0.159249,0.065561,0.253831,0.002652,-0.009167,0.0,0.012606,0.653163,1.0,0.0,-0.01867,0.0,5.824838,0.0,0.7286,0.4967,3.3199,2.047,0.04075,1.259,0.20812,1.307,0.19142,4.509,0.21151,0.018982,0.507826,0.290591,0.0,-0.106477,0.009435,1.026175,0.0,,"Residual diagnostics (0.237), Parameter significance (0.205), Information criteria (0.106)"
series_2_model_71_summary.txt,0.7973864793373431,0.1953125,0.1056576,0.24414444444444447,0.10227193489289858,0.1,0.05,eGARCH,2.0,1.0,0.0,0.0,1.0,std,-4184.416,2.3155,2.3309,0.010271,0.389082,,,0.096594,0.0,-0.00931,0.007505,0.012084,0.666561,0.981437,0.0,,,5.841691,0.0,0.8074,0.47297,2.703,1.896,0.05809,1.234,0.21728,1.209,0.22685,3.937,0.26839,0.019232,0.503247,0.287448,0.0,-0.101499,0.014545,,,,"Residual diagnostics (0.244), Parameter significance (0.195), Information criteria (0.106)"
series_3_model_92_summary.txt,0.7962511357082838,0.25,0.19928208000000003,0.19444760278031167,0.0025214529279719887,0.1,0.05,eGARCH,1.0,2.0,1.0,0.0,1.0,sstd,1116.732,-0.61112,-0.59401,0.406869,0.467893,0.989771,0.0,-0.07785,7e-06,-0.236479,0.0,0.247718,0.0,1.0,0.0,-0.07139,0.0,5.17253,0.0,0.6355,0.5634,6.6258,0.4856,0.6273,0.1404,0.8884,0.8785,0.3797,0.8301,0.8423,,,0.070933,0.000159,,,1.409237,0.0,,"Parameter significance (0.250), Information criteria (0.199), Residual diagnostics (0.194)"
series_2_model_99_summary.txt,0.7958706254358002,0.25,0.10347360000000001,0.25,0.09239152873580019,0.1,5.4967e-06,gjrGARCH,1.0,1.0,0.0,0.0,1.0,norm,-4315.627,2.3863,2.3966,0.013796,0.278251,,,0.080825,1.2e-05,0.020514,2e-06,0.174306,0.0,0.850905,0.0,,,,,0.3792,0.2752,2.1646,1.621,0.1051,1.626,0.104,1.169,0.2424,4.139,0.2468,,,-0.083644,4.3e-05,,,,,0.6989,"Parameter significance (0.250), Residual diagnostics (0.250), Information criteria (0.103)"
